Country;Anthracite & Bituminous;SubBituminous;Lignite;Total;Percentage of World Total
United States;108501;98618;30176;237295;22.6
Russia;49088;97472;10450;157010;14.4
China;622;337;18600;114500;12.6
Australia;371;21;37200;76400;8.9
India;561;0;4500;60600;7.0
Germany;99;0;40600;40699;4.7
Ukraine;15351;16577;1945;33873;3.9
Kazakhstan;215;0;12100;33600;3.9
South Africa;30156;0;0;30156;3.5
Serbia;9;361;13400;13770;1.6
Colombia;6366;380;0;6746;0.8
Canada;3474;872;2236;6528;0.8
Poland;4338;0;1371;5709;0.7
Indonesia;152;2904;1105;5529;0.6
Brazil;0;4559;0;4559;0.5
Greece;0;0;3020;3020;0.4
Bosnia and Herzegovina;484;0;2369;2853;0.3
Mongolia;117;0;1350;2520;0.3
Bulgaria;2;190;2174;2366;0.3
Pakistan;0;166;1904;2070;0.3
Turkey;529;0;1814;2343;0.3
Uzbekistan;47;0;1853;1900;0.2
Hungary;13;439;1208;1660;0.2
Thailand;0;0;1239;1239;0.1
Mexico;860;300;51;1211;0.1
Iran;1203;0;0;1203;0.1
Czech Republic;192;0;908;1100;0.1
Kyrgyzstan;0;0;812;812;0.1
Albania;0;0;794;794;0.1
North Korea;300;300;0;600;0.1
New Zealand;33;205;333-7000;571–15000;0.1
Spain;200;300;30;530;0.1
Laos;4;0;499;503;0.1
Zimbabwe;502;0;0;502;0.1
Argentina;0;0;550;550;0.1
All others;3421;1346;846;5613;0.7
